id,name,type,parent_id/id,property_account_income_categ,property_account_expense_categ,property_stock_account_input_categ,property_stock_account_output_categ,property_stock_valuation_account_id
product_cat_ชุดถ้วยกะโหลก,ชุดถ้วยกะโหลก,Normal,product_cat_parts,411000 รายได้จากการขายสินค้า,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,511000 ต้นทุนขาย,115100 สินค้าสำเร็จรูป
product_cat_ซี่ลวด,ซี่ลวด,Normal,product_cat_parts,411000 รายได้จากการขายสินค้า,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,511000 ต้นทุนขาย,115100 สินค้าสำเร็จรูป
product_cat_โซ่,โซ่,Normal,product_cat_parts,411000 รายได้จากการขายสินค้า,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,511000 ต้นทุนขาย,115100 สินค้าสำเร็จรูป
product_cat_ดุมล้อ,ดุมล้อ,Normal,product_cat_parts,411000 รายได้จากการขายสินค้า,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,511000 ต้นทุนขาย,115100 สินค้าสำเร็จรูป
product_cat_ตะกร้า,ตะกร้า,Normal,product_cat_parts,411000 รายได้จากการขายสินค้า,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,511000 ต้นทุนขาย,115100 สินค้าสำเร็จรูป
product_cat_ตะเกียบ,ตะเกียบ,Normal,product_cat_parts,411000 รายได้จากการขายสินค้า,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,511000 ต้นทุนขาย,115100 สินค้าสำเร็จรูป
product_cat_ตะแกรงท้าย,ตะแกรงท้าย,Normal,product_cat_parts,411000 รายได้จากการขายสินค้า,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,511000 ต้นทุนขาย,115100 สินค้าสำเร็จรูป
product_cat_ตัวถัง,ตัวถัง,Normal,product_cat_parts,411000 รายได้จากการขายสินค้า,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,511000 ต้นทุนขาย,115100 สินค้าสำเร็จรูป
product_cat_ตีนผีหลัง,ตีนผีหลัง,Normal,product_cat_parts,411000 รายได้จากการขายสินค้า,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,511000 ต้นทุนขาย,115100 สินค้าสำเร็จรูป
product_cat_ทับทิมสะท้อนแสง,ทับทิมสะท้อนแสง,Normal,product_cat_parts,411000 รายได้จากการขายสินค้า,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,511000 ต้นทุนขาย,115100 สินค้าสำเร็จรูป
product_cat_เทปพันวงล้อ,เทปพันวงล้อ,Normal,product_cat_parts,411000 รายได้จากการขายสินค้า,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,511000 ต้นทุนขาย,115100 สินค้าสำเร็จรูป
product_cat_บังโคลน,บังโคลน,Normal,product_cat_parts,411000 รายได้จากการขายสินค้า,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,511000 ต้นทุนขาย,115100 สินค้าสำเร็จรูป
product_cat_บังโซ่,บังโซ่,Normal,product_cat_parts,411000 รายได้จากการขายสินค้า,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,511000 ต้นทุนขาย,115100 สินค้าสำเร็จรูป
product_cat_บันได,บันได,Normal,product_cat_parts,411000 รายได้จากการขายสินค้า,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,511000 ต้นทุนขาย,115100 สินค้าสำเร็จรูป
product_cat_เบรค,เบรค,Normal,product_cat_parts,411000 รายได้จากการขายสินค้า,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,511000 ต้นทุนขาย,115100 สินค้าสำเร็จรูป
product_cat_เบาะท้าย,เบาะท้าย,Normal,product_cat_parts,411000 รายได้จากการขายสินค้า,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,511000 ต้นทุนขาย,115100 สินค้าสำเร็จรูป
product_cat_ปลอกมือ,ปลอกมือ,Normal,product_cat_parts,411000 รายได้จากการขายสินค้า,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,511000 ต้นทุนขาย,115100 สินค้าสำเร็จรูป
product_cat_ปลอกสายสปีด,ปลอกสายสปีด,Normal,product_cat_parts,411000 รายได้จากการขายสินค้า,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,511000 ต้นทุนขาย,115100 สินค้าสำเร็จรูป
product_cat_แผงบังล้อ,แผงบังล้อ,Normal,product_cat_parts,411000 รายได้จากการขายสินค้า,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,511000 ต้นทุนขาย,115100 สินค้าสำเร็จรูป
product_cat_พักเท้า,พักเท้า,Normal,product_cat_parts,411000 รายได้จากการขายสินค้า,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,511000 ต้นทุนขาย,115100 สินค้าสำเร็จรูป
product_cat_ฟรีวีล,ฟรีวีล,Normal,product_cat_parts,411000 รายได้จากการขายสินค้า,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,511000 ต้นทุนขาย,115100 สินค้าสำเร็จรูป
product_cat_ไฟส่องสว่าง,ไฟส่องสว่าง,Normal,product_cat_parts,411000 รายได้จากการขายสินค้า,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,511000 ต้นทุนขาย,115100 สินค้าสำเร็จรูป
product_cat_มือเบรค,มือเบรค,Normal,product_cat_parts,411000 รายได้จากการขายสินค้า,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,511000 ต้นทุนขาย,115100 สินค้าสำเร็จรูป
product_cat_ยางกันโคลน,ยางกันโคลน,Normal,product_cat_parts,411000 รายได้จากการขายสินค้า,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,511000 ต้นทุนขาย,115100 สินค้าสำเร็จรูป
product_cat_ยางนอก,ยางนอก,Normal,product_cat_parts,411000 รายได้จากการขายสินค้า,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,511000 ต้นทุนขาย,115100 สินค้าสำเร็จรูป
product_cat_ยางใน,ยางใน,Normal,product_cat_parts,411000 รายได้จากการขายสินค้า,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,511000 ต้นทุนขาย,115100 สินค้าสำเร็จรูป
product_cat_ล้อพ่วง,ล้อพ่วง,Normal,product_cat_parts,411000 รายได้จากการขายสินค้า,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,511000 ต้นทุนขาย,115100 สินค้าสำเร็จรูป
product_cat_ลูกปืนพวง,ลูกปืนพวง,Normal,product_cat_parts,411000 รายได้จากการขายสินค้า,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,511000 ต้นทุนขาย,115100 สินค้าสำเร็จรูป
product_cat_ลูกหมาก,ลูกหมาก,Normal,product_cat_parts,411000 รายได้จากการขายสินค้า,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,511000 ต้นทุนขาย,115100 สินค้าสำเร็จรูป
product_cat_โลโก้,โลโก้,Normal,product_cat_parts,411000 รายได้จากการขายสินค้า,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,511000 ต้นทุนขาย,115100 สินค้าสำเร็จรูป
product_cat_วงล้อ,วงล้อ,Normal,product_cat_parts,411000 รายได้จากการขายสินค้า,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,511000 ต้นทุนขาย,115100 สินค้าสำเร็จรูป
product_cat_สติกเกอร์,สติกเกอร์,Normal,product_cat_parts,411000 รายได้จากการขายสินค้า,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,511000 ต้นทุนขาย,115100 สินค้าสำเร็จรูป
product_cat_สับสปีด,สับสปีด,Normal,product_cat_parts,411000 รายได้จากการขายสินค้า,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,511000 ต้นทุนขาย,115100 สินค้าสำเร็จรูป
product_cat_สายเบรค,สายเบรค,Normal,product_cat_parts,411000 รายได้จากการขายสินค้า,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,511000 ต้นทุนขาย,115100 สินค้าสำเร็จรูป
product_cat_สูบลม,สูบลม,Normal,product_cat_parts,411000 รายได้จากการขายสินค้า,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,511000 ต้นทุนขาย,115100 สินค้าสำเร็จรูป
product_cat_หลักตะกร้า,หลักตะกร้า,Normal,product_cat_parts,411000 รายได้จากการขายสินค้า,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,511000 ต้นทุนขาย,115100 สินค้าสำเร็จรูป
product_cat_หลักตะเกียง,หลักตะเกียง,Normal,product_cat_parts,411000 รายได้จากการขายสินค้า,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,511000 ต้นทุนขาย,115100 สินค้าสำเร็จรูป
product_cat_หลักอาน,หลักอาน,Normal,product_cat_parts,411000 รายได้จากการขายสินค้า,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,511000 ต้นทุนขาย,115100 สินค้าสำเร็จรูป
product_cat_หัวกระโหลก,หัวกระโหลก,Normal,product_cat_parts,411000 รายได้จากการขายสินค้า,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,511000 ต้นทุนขาย,115100 สินค้าสำเร็จรูป
product_cat_อาน,อาน,Normal,product_cat_parts,411000 รายได้จากการขายสินค้า,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,511000 ต้นทุนขาย,115100 สินค้าสำเร็จรูป
product_cat_อุปกรณ์ไฟฟ้า,อุปกรณ์ไฟฟ้า,Normal,product_cat_parts,411000 รายได้จากการขายสินค้า,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,511000 ต้นทุนขาย,115100 สินค้าสำเร็จรูป
product_cat_แฮนด์,แฮนด์,Normal,product_cat_parts,411000 รายได้จากการขายสินค้า,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,511000 ต้นทุนขาย,115100 สินค้าสำเร็จรูป
