id,name,code,parent_id/id,type,user_type/id,reconcile
thai_rjc_12340,เครื่องมือและอุปกรณ์โรงงาน,12340,thai_rjc_12300,Regular,account.data_account_type_fixed_assets,FALSE
thai_rjc_12350,เครื่องตกแต่งและเครื่องใช้สำนักงาน,12350,thai_rjc_12300,Regular,account.data_account_type_fixed_assets,FALSE
thai_rjc_12360,คอมพิวเตอร์,12360,thai_rjc_12300,Regular,account.data_account_type_fixed_assets,FALSE
thai_rjc_12370,ซอฟท์แวร์,12370,thai_rjc_12300,Regular,account.data_account_type_fixed_assets,FALSE
thai_rjc_12380,ยานพาหนะ,12380,thai_rjc_12300,Regular,account.data_account_type_fixed_assets,FALSE
thai_rjc_12319,ค่าเสื่อมราคาสะสมอาคารและสิ่งปลูกสร้าง,12319,thai_rjc_12300,Regular,account.data_account_type_fixed_assets,FALSE
thai_rjc_12329,สิทธิการเช่าตัดจำหน่ายสะสม,12329,thai_rjc_12300,Regular,account.data_account_type_fixed_assets,FALSE
thai_rjc_12339,ค่าเสื่อมราคาสะสมเครื่องจักร,12339,thai_rjc_12300,Regular,account.data_account_type_fixed_assets,FALSE
thai_rjc_12349,ค่าเสื่อมราคาสะสมเครื่องมือและอุปกรณ์โรงงาน,12349,thai_rjc_12300,Regular,account.data_account_type_fixed_assets,FALSE
thai_rjc_12359,ค่าเสื่อมราคาสะสมเครื่องตกแต่งและเครื่องใช้สำนักงาน,12359,thai_rjc_12300,Regular,account.data_account_type_fixed_assets,FALSE
thai_rjc_12369,ค่าเสื่อมราคาสะสมคอมพิวเตอร์,12369,thai_rjc_12300,Regular,account.data_account_type_fixed_assets,FALSE
thai_rjc_12379,ค่าเสื่อมราคาสะสมซอฟท์แวร์,12379,thai_rjc_12300,Regular,account.data_account_type_fixed_assets,FALSE
thai_rjc_12389,ค่าเสื่อมราคาสะสมยานพาหนะ,12389,thai_rjc_12300,Regular,account.data_account_type_fixed_assets,FALSE
thai_rjc_12500,สินทรัพย์ไม่มีตัวตน,12500,thai_rjc_12000,View,account.data_account_type_view,FALSE
thai_rjc_12510,ค่าลิขสิทธิ์,12510,thai_rjc_12500,Regular,account.data_account_type_non_current_assets,FALSE
thai_rjc_12520,สิทธิบัตร,12520,thai_rjc_12500,Regular,account.data_account_type_non_current_assets,FALSE
