id,name,description_sale,description_purchase,sale_ok,purchase_ok,hr_expense_ok,type,cost_method,categ_id,uom_id,uom_po_id,valuation,standard_price,list_price,property_account_income,property_account_expense
product_product_charge_82,ค่าเสื่อมราคาสะสมซอฟท์แวร์,,,FALSE,TRUE,TRUE,Service,Standard Price,Charges,Unit(s),Unit(s),Periodical (manual),1,1,71379 ค่าเสื่อมราคาสะสมซอฟท์แวร์,71379 ค่าเสื่อมราคาสะสมซอฟท์แวร์
product_product_charge_83,ค่าเสื่อมราคาสะสมยานพาหนะ,,,FALSE,TRUE,TRUE,Service,Standard Price,Charges,Unit(s),Unit(s),Periodical (manual),1,1,71389 ค่าเสื่อมราคาสะสมยานพาหนะ,71389 ค่าเสื่อมราคาสะสมยานพาหนะ
product_product_charge_84,ค่าลิขสิทธิ์,,,FALSE,TRUE,TRUE,Service,Standard Price,Charges,Unit(s),Unit(s),Periodical (manual),1,1,72100 ค่าลิขสิทธิ์,72100 ค่าลิขสิทธิ์
product_product_charge_85,ค่าภาษีบำรุงท้องที่,,,FALSE,TRUE,TRUE,Service,Standard Price,Charges,Unit(s),Unit(s),Periodical (manual),1,1,72200 ค่าภาษีบำรุงท้องที่,72200 ค่าภาษีบำรุงท้องที่
product_product_charge_86,ค่าภาษีโรงเรือน,,,FALSE,TRUE,TRUE,Service,Standard Price,Charges,Unit(s),Unit(s),Periodical (manual),1,1,72300 ค่าภาษีโรงเรือน,72300 ค่าภาษีโรงเรือน
product_product_charge_87,ค่าภาษีป้าย,,,FALSE,TRUE,TRUE,Service,Standard Price,Charges,Unit(s),Unit(s),Periodical (manual),1,1,72400 ค่าภาษีป้าย,72400 ค่าภาษีป้าย
product_product_charge_88,ค่าภาษีอื่นๆ,,,FALSE,TRUE,TRUE,Service,Standard Price,Charges,Unit(s),Unit(s),Periodical (manual),1,1,72900 ค่าภาษีอื่นๆ,72900 ค่าภาษีอื่นๆ
product_product_charge_89,ภาษีเงินได้นิติบุคคล (ภงด.50),,,FALSE,TRUE,TRUE,Service,Standard Price,Charges,Unit(s),Unit(s),Periodical (manual),1,1,72990 ภาษีเงินได้นิติบุคคล,72990 ภาษีเงินได้นิติบุคคล
product_product_charge_90,หนี้สูญ,,,FALSE,TRUE,TRUE,Service,Standard Price,Charges,Unit(s),Unit(s),Periodical (manual),1,1,73110 หนี้สูญ,73110 หนี้สูญ
product_product_charge_91,ค่าเรียกเก็บหนี้,,,FALSE,TRUE,TRUE,Service,Standard Price,Charges,Unit(s),Unit(s),Periodical (manual),1,1,73120 ค่าเรียกเก็บหนี้,73120 ค่าเรียกเก็บหนี้
product_product_charge_92,เงินบริจาค,,,FALSE,TRUE,TRUE,Service,Standard Price,Charges,Unit(s),Unit(s),Periodical (manual),1,1,73130 เงินบริจาค,73130 เงินบริจาค
product_product_charge_93,ค่ารับรอง,,,FALSE,TRUE,TRUE,Service,Standard Price,Charges,Unit(s),Unit(s),Periodical (manual),1,1,73140 ค่ารับรอง,73140 ค่ารับรอง
product_product_charge_94,ค่าปรับและเบี้ยปรับทั่วไป,,,FALSE,TRUE,TRUE,Service,Standard Price,Charges,Unit(s),Unit(s),Periodical (manual),1,1,73160 ค่าปรับภาษีอากรและเบี้ยปรับทั่วไป,73160 ค่าปรับภาษีอากรและเบี้ยปรับทั่วไป
product_product_charge_95,ค่าใช้จ่ายเบ็ดเตล็ด,,,FALSE,TRUE,TRUE,Service,Standard Price,Charges,Unit(s),Unit(s),Periodical (manual),1,1,73190 ค่าใช้จ่ายเบ็ดเตล็ด,73190 ค่าใช้จ่ายเบ็ดเตล็ด
product_product_charge_96,ดอกเบี้ยจ่าย,,,FALSE,TRUE,TRUE,Service,Standard Price,Charges,Unit(s),Unit(s),Periodical (manual),1,1,73210 ดอกเบี้ยจ่าย,73210 ดอกเบี้ยจ่าย
product_product_charge_97,ขาดทุนจากการจำหน่ายสินทรัพย์,,,FALSE,TRUE,TRUE,Service,Standard Price,Charges,Unit(s),Unit(s),Periodical (manual),1,1,73230 ขาดทุนจากการจำหน่ายสินทรัพย์,73230 ขาดทุนจากการจำหน่ายสินทรัพย์
product_product_charge_98,ขาดทุนจากอัตราแลกเปลี่ยนที่เกิดขึ้นจริง,,,FALSE,TRUE,TRUE,Service,Standard Price,Charges,Unit(s),Unit(s),Periodical (manual),1,1,73240 ขาดทุนจากอัตราแลกเปลี่ยนที่เกิดขึ้นจริง,73240 ขาดทุนจากอัตราแลกเปลี่ยนที่เกิดขึ้นจริง
product_product_charge_99,ขาดทุนจากอัตราแลกเปลี่ยนที่ไม่เกิดขึ้นจริง,,,FALSE,TRUE,TRUE,Service,Standard Price,Charges,Unit(s),Unit(s),Periodical (manual),1,1,73250 ขาดทุนจากอัตราแลกเปลี่ยนที่ไม่เกิดขึ้นจริง,73250 ขาดทุนจากอัตราแลกเปลี่ยนที่ไม่เกิดขึ้นจริง
product_product_charge_100,เงินสดย่อยเกิน (ขาด),,,FALSE,TRUE,TRUE,Service,Standard Price,Charges,Unit(s),Unit(s),Periodical (manual),1,1,74100 เงินสดย่อยเกิน (ขาด),74100 เงินสดย่อยเกิน (ขาด)
product_product_charge_101,ค่าใช้จ่ายไม่ให้ถือเป็นรายจ่าย,,,FALSE,TRUE,TRUE,Service,Standard Price,Charges,Unit(s),Unit(s),Periodical (manual),1,1,74200 ค่าใช้จ่ายไม่ให้ถือเป็นรายจ่าย,74200 ค่าใช้จ่ายไม่ให้ถือเป็นรายจ่าย
product_product_charge_102,เบี้ยปรับเงินเพิ่มตามประมวลรัษฎากร,,,FALSE,TRUE,TRUE,Service,Standard Price,Charges,Unit(s),Unit(s),Periodical (manual),1,1,74300 เบี้ยปรับเงินเพิ่มตามประมวลรัษฎากร,74300 เบี้ยปรับเงินเพิ่มตามประมวลรัษฎากร
product_product_charge_103,บัญชีพัก,,,FALSE,TRUE,TRUE,Service,Standard Price,Charges,Unit(s),Unit(s),Periodical (manual),1,1,74900 บัญชีพัก,74900 บัญชีพัก
