id,partner_id,partner_invoice_id,partner_shipping_id,name,date_order,pricelist_id/id,order_line/sequence,order_line/type,order_line/name,order_line/product_id,order_line/product_uom_qty,order_line/salesman_id/id,order_line/price_unit,order_line/product_uom
sale_order_1006138,"ศุภางค์ พานิชย์, ร้าน","ศุภางค์ พานิชย์, ร้าน","ศุภางค์ พานิชย์, ร้าน",1003833,2012-12-26,product.list0,30,from stock,N/A,MST24R,3,base.user_root,1488,คัน
sale_order_1005456,ไฮไบด์,ไฮไบด์,ไฮไบด์,1003151,2012-11-02,product.list0,50,from stock,N/A,MST27Y,2,base.user_root,3865,คัน
sale_order_1005456,ไฮไบด์,ไฮไบด์,ไฮไบด์,1003151,2012-11-02,product.list0,40,from stock,N/A,MST27G,2,base.user_root,3865,คัน
sale_order_1005486,สมรักษ์จักรยาน,สมรักษ์จักรยาน,สมรักษ์จักรยาน,1003181,2012-11-03,product.list0,40,from stock,** ราคาเนต **,MST27Y,1,base.user_root,3740,คัน
sale_order_1005486,สมรักษ์จักรยาน,สมรักษ์จักรยาน,สมรักษ์จักรยาน,1003181,2012-11-03,product.list0,20,from stock,** ราคาเนต **,MST27SB,1,base.user_root,3740,คัน
sale_order_1005486,สมรักษ์จักรยาน,สมรักษ์จักรยาน,สมรักษ์จักรยาน,1003181,2012-11-03,product.list0,10,from stock,** ราคาเนต **,MST27G,2,base.user_root,3740,คัน
sale_order_1005466,"เจริญจักรยานดี, ขอนแก่น(เม้ง)","เจริญจักรยานดี, ขอนแก่น(เม้ง)","เจริญจักรยานดี, ขอนแก่น(เม้ง)",1003161,2012-11-03,product.list0,20,from stock,** ราคาเนต ** ส่งชัยวัฒพัฒนาขนส่ง **,MST27G,1,base.user_root,4000,คัน
sale_order_1005466,"เจริญจักรยานดี, ขอนแก่น(เม้ง)","เจริญจักรยานดี, ขอนแก่น(เม้ง)","เจริญจักรยานดี, ขอนแก่น(เม้ง)",1003161,2012-11-03,product.list0,10,from stock,** ราคาเนต ** ส่งชัยวัฒพัฒนาขนส่ง **,MST27SB,1,base.user_root,4000,คัน
sale_order_1005505,"แสงอรุณ, สระบุรี","แสงอรุณ, สระบุรี","แสงอรุณ, สระบุรี",1003200,2012-11-05,product.list0,70,from stock,** ราคาเนต **,MST27G,2,base.user_root,3740,คัน
sale_order_1005505,"แสงอรุณ, สระบุรี","แสงอรุณ, สระบุรี","แสงอรุณ, สระบุรี",1003200,2012-11-05,product.list0,60,from stock,** ราคาเนต **,MST27SB,2,base.user_root,3740,คัน
sale_order_1005505,"แสงอรุณ, สระบุรี","แสงอรุณ, สระบุรี","แสงอรุณ, สระบุรี",1003200,2012-11-05,product.list0,50,from stock,** ราคาเนต **,MST27Y,2,base.user_root,3740,คัน
sale_order_1005559,"หยูฮะเฮงหนองคาย, หจก.","หยูฮะเฮงหนองคาย, หจก.","หยูฮะเฮงหนองคาย, หจก.",1003254,2012-11-12,product.list0,30,from stock,** ราคาเนต **,MST27SB,2,base.user_root,3740,คัน
