id,partner_id,account_id,reference,comment,date_due,date_invoice,invoice_line/account_id,invoice_line/name,invoice_line/product_id,invoice_line/quantity,invoice_line/price_unit
account_invoice_086,เจริญการค้า,11310 ลูกหนี้การค้าในประเทศ,INV50/443/22112,Sales: pitoon,2007-03-01,2007-03-01,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,29000
account_invoice_087,เจริญการค้า,11310 ลูกหนี้การค้าในประเทศ,INV50/455/22746,Sales: pitoon,2007-04-28,2007-04-28,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,23600
account_invoice_088,เจริญการค้า,11310 ลูกหนี้การค้าในประเทศ,INV50/457/22839,Sales: pitoon,2007-05-09,2007-05-09,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,4950
account_invoice_089,เจริญการช่าง,11310 ลูกหนี้การค้าในประเทศ,INV55/950/47497,Sales: pitoon,2012-11-05,2012-11-05,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,20615
account_invoice_090,เจริญการช่าง,11310 ลูกหนี้การค้าในประเทศ,INV55/960/47986,Sales: pitoon,2012-12-13,2012-12-13,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,22836
account_invoice_091,เจริญการช่าง,11310 ลูกหนี้การค้าในประเทศ,INV55/960/47987,Sales: pitoon,2012-12-13,2012-12-13,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,6650
account_invoice_092,เจริญการช่าง,11310 ลูกหนี้การค้าในประเทศ,INV55/963/48110,Sales: pitoon,2012-12-22,2012-12-22,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,4050
account_invoice_093,"เจริญกิจจักรยาน, ร้าน (ชัยนาท)",11310 ลูกหนี้การค้าในประเทศ,INV55/943/47132,Sales: danupol,2012-10-04,2012-10-04,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,13464
account_invoice_094,"เจริญกิจจักรยาน, ร้าน (ชัยนาท)",11310 ลูกหนี้การค้าในประเทศ,INV55/948/47366,Sales: danupol,2012-10-29,2012-10-29,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,5200
account_invoice_095,"เจริญกิจจักรยาน, ร้าน (ชัยนาท)",11310 ลูกหนี้การค้าในประเทศ,INV55/952/47592,Sales: danupol,2012-11-12,2012-11-12,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,5550
account_invoice_096,"เจริญกิจจักรยาน, ร้าน (ชัยนาท)",11310 ลูกหนี้การค้าในประเทศ,INV55/955/47713,Sales: danupol,2012-11-22,2012-11-22,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,13854
account_invoice_097,"เจริญจักรยาน, ราชบุรี",11310 ลูกหนี้การค้าในประเทศ,INV55/957/47811,Sales: pasit,2012-12-01,2012-12-01,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,137845
account_invoice_098,"เจริญจักรยาน, ราชบุรี",11310 ลูกหนี้การค้าในประเทศ,INV55/957/47827,Sales: pasit,2012-12-03,2012-12-03,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,12650
account_invoice_099,"เจริญจักรยาน, ราชบุรี",11310 ลูกหนี้การค้าในประเทศ,INV55/959/47920,Sales: pasit,2012-12-08,2012-12-08,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,23500
account_invoice_100,"เจริญจักรยาน, ราชบุรี",11310 ลูกหนี้การค้าในประเทศ,INV55/959/47921,Sales: pasit,2012-12-08,2012-12-08,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,345047
account_invoice_101,"เจริญจักรยาน, ราชบุรี",11310 ลูกหนี้การค้าในประเทศ,INV55/961/48031,Sales: pasit,2012-12-17,2012-12-17,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,15984
account_invoice_102,"เจริญจักรยาน, ราชบุรี",11310 ลูกหนี้การค้าในประเทศ,INV55/963/48117,Sales: pasit,2012-12-22,2012-12-22,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,271694
account_invoice_103,"เจริญจักรยานดี, ขอนแก่น(เม้ง)",11310 ลูกหนี้การค้าในประเทศ,INV55/959/47939,Sales: pitoon,2012-12-10,2012-12-10,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,4485
account_invoice_104,"เจริญจักรยานดี, ขอนแก่น(เม้ง)",11310 ลูกหนี้การค้าในประเทศ,INV55/959/47940,Sales: pitoon,2012-12-10,2012-12-10,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,13863
account_invoice_105,เจริญชัยจักรยาน,11310 ลูกหนี้การค้าในประเทศ,INV55/963/48128,Sales: admin,2012-12-24,2012-12-24,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,36800
account_invoice_106,"เจริญทรัพย์, ร้าน",11310 ลูกหนี้การค้าในประเทศ,INV55/946/47258,Sales: pitoon,2012-10-16,2012-10-16,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,5815
account_invoice_107,"เจริญทรัพย์, ร้าน",11310 ลูกหนี้การค้าในประเทศ,INV55/953/47643,Sales: pitoon,2012-11-16,2012-11-16,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,23750
account_invoice_108,"เจริญทรัพย์, ร้าน",11310 ลูกหนี้การค้าในประเทศ,INV55/961/48036,Sales: pitoon,2012-12-17,2012-12-17,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,24675
account_invoice_109,"เจริญทรัพย์, ร้าน",11310 ลูกหนี้การค้าในประเทศ,INV55/964/48168,Sales: pitoon,2012-12-26,2012-12-26,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,17550
account_invoice_110,เจริญพานิช,11310 ลูกหนี้การค้าในประเทศ,INV55/951/47550,Sales: danupol,2012-11-08,2012-11-08,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,20970
account_invoice_111,เจริญพานิช,11310 ลูกหนี้การค้าในประเทศ,INV55/955/47730,Sales: danupol,2012-11-23,2012-11-23,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,11305
account_invoice_112,เจริญเมือง,11310 ลูกหนี้การค้าในประเทศ,INV55/956/47758,Sales: pitoon,2012-11-27,2012-11-27,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,14450
account_invoice_113,เจริญเมือง,11310 ลูกหนี้การค้าในประเทศ,INV55/956/47759,Sales: pitoon,2012-11-27,2012-11-27,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,14450
account_invoice_114,"เจ้ฮวย, ร้าน",11310 ลูกหนี้การค้าในประเทศ,INV55/950/47473,Sales: danupol,2012-11-03,2012-11-03,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,20383
