id,name,type,parent_id/id,property_account_creditor_price_difference_categ,property_account_income_categ,property_account_expense_categ,property_stock_account_input_categ,property_stock_account_output_categ,property_stock_valuation_account_id,property_stock_journal/id
product_cat_ขาบังโคลน,ขาบังโคลน,Normal,product_cat_parts,58200 Purchase price variance,41100 รายได้จากการขายสินค้า,51100 ต้นทุนขาย,21299 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,51900 Product Inventory Clearing,11510 สินค้าสำเร็จรูป,stock.stock_journal
product_cat_ตีนผีหลัง,ตีนผีหลัง,Normal,product_cat_parts,58200 Purchase price variance,41100 รายได้จากการขายสินค้า,51100 ต้นทุนขาย,21299 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,51900 Product Inventory Clearing,11510 สินค้าสำเร็จรูป,stock.stock_journal
product_cat_ลูกปืนพวง,ลูกปืนพวง,Normal,product_cat_parts,58200 Purchase price variance,41100 รายได้จากการขายสินค้า,51100 ต้นทุนขาย,21299 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,51900 Product Inventory Clearing,11510 สินค้าสำเร็จรูป,stock.stock_journal
product_cat_สติกเกอร์,สติกเกอร์,Normal,product_cat_parts,58200 Purchase price variance,41100 รายได้จากการขายสินค้า,51100 ต้นทุนขาย,21299 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,51900 Product Inventory Clearing,11510 สินค้าสำเร็จรูป,stock.stock_journal
product_cat_แผงบังล้อ,แผงบังล้อ,Normal,product_cat_parts,58200 Purchase price variance,41100 รายได้จากการขายสินค้า,51100 ต้นทุนขาย,21299 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,51900 Product Inventory Clearing,11510 สินค้าสำเร็จรูป,stock.stock_journal
product_cat_ขาเบาะท้าย,ขาเบาะท้าย,Normal,product_cat_parts,58200 Purchase price variance,41100 รายได้จากการขายสินค้า,51100 ต้นทุนขาย,21299 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,51900 Product Inventory Clearing,11510 สินค้าสำเร็จรูป,stock.stock_journal
product_cat_ตะแกรงท้าย,ตะแกรงท้าย,Normal,product_cat_parts,58200 Purchase price variance,41100 รายได้จากการขายสินค้า,51100 ต้นทุนขาย,21299 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,51900 Product Inventory Clearing,11510 สินค้าสำเร็จรูป,stock.stock_journal
product_cat_ยางกันโคลน,ยางกันโคลน,Normal,product_cat_parts,58200 Purchase price variance,41100 รายได้จากการขายสินค้า,51100 ต้นทุนขาย,21299 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,51900 Product Inventory Clearing,11510 สินค้าสำเร็จรูป,stock.stock_journal
product_cat_หลักตะกร้า,หลักตะกร้า,Normal,product_cat_parts,58200 Purchase price variance,41100 รายได้จากการขายสินค้า,51100 ต้นทุนขาย,21299 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,51900 Product Inventory Clearing,11510 สินค้าสำเร็จรูป,stock.stock_journal
product_cat_หัวกระโหลก,หัวกระโหลก,Normal,product_cat_parts,58200 Purchase price variance,41100 รายได้จากการขายสินค้า,51100 ต้นทุนขาย,21299 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,51900 Product Inventory Clearing,11510 สินค้าสำเร็จรูป,stock.stock_journal
product_cat_ขาจานเลื้อย,ขาจานเลื้อย,Normal,product_cat_parts,58200 Purchase price variance,41100 รายได้จากการขายสินค้า,51100 ต้นทุนขาย,21299 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,51900 Product Inventory Clearing,11510 สินค้าสำเร็จรูป,stock.stock_journal
product_cat_จุกอัลลอยด์,จุกอัลลอยด์,Normal,product_cat_parts,58200 Purchase price variance,41100 รายได้จากการขายสินค้า,51100 ต้นทุนขาย,21299 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,51900 Product Inventory Clearing,11510 สินค้าสำเร็จรูป,stock.stock_journal
product_cat_ปลอกสายสปีด,ปลอกสายสปีด,Normal,product_cat_parts,58200 Purchase price variance,41100 รายได้จากการขายสินค้า,51100 ต้นทุนขาย,21299 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,51900 Product Inventory Clearing,11510 สินค้าสำเร็จรูป,stock.stock_journal
